Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/18/2017,CLT,-26.0,0.0,0.0,0.0,0.0,0.0,2017-01-18
01/18/2017,DFW,-24.0,0.0,0.0,0.0,0.0,0.0,2017-01-18
01/18/2017,MIA,47.0,0.0,0.0,0.0,0.0,0.0,2017-01-18
01/18/2017,ORD,-19.0,0.0,0.0,0.0,0.0,0.0,2017-01-18
01/18/2017,PHX,-11.0,0.0,0.0,0.0,0.0,0.0,2017-01-18
01/18/2018,CLT,14.0,0.0,0.0,0.0,0.0,0.0,2018-01-18
01/18/2018,DFW,40.0,0.0,0.0,0.0,0.0,0.0,2018-01-18
01/18/2018,MIA,2.0,0.0,0.0,0.0,0.0,0.0,2018-01-18
01/18/2018,ORD,-12.0,0.0,0.0,0.0,0.0,0.0,2018-01-18
01/18/2018,PHX,14.0,0.0,0.0,0.0,0.0,0.0,2018-01-18
01/18/2019,CLT,77.0,0.0,0.0,58.0,0.0,69.0,2019-01-18
01/18/2019,DFW,-16.0,0.0,0.0,19.0,0.0,0.0,2019-01-18
01/18/2019,MIA,47.0,5.0,0.0,19.0,0.0,42.0,2019-01-18
01/18/2019,ORD,-17.0,0.0,0.0,38.0,0.0,0.0,2019-01-18
01/18/2019,PHX,85.0,9.0,0.0,36.0,0.0,68.0,2019-01-18
01/19/2017,CLT,-37.0,0.0,0.0,0.0,0.0,0.0,2017-01-19
01/19/2017,DFW,119.0,94.0,0.0,23.0,0.0,0.0,2017-01-19
01/19/2017,MIA,-16.0,0.0,0.0,0.0,0.0,0.0,2017-01-19
01/19/2017,ORD,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-19
01/19/2017,PHX,35.0,0.0,0.0,0.0,0.0,24.0,2017-01-19
01/19/2018,CLT,29.0,16.0,0.0,0.0,0.0,14.0,2018-01-19
01/19/2018,DFW,-18.0,0.0,0.0,0.0,0.0,0.0,2018-01-19
01/19/2018,MIA,33.0,0.0,0.0,0.0,0.0,23.0,2018-01-19
01/19/2018,ORD,-31.0,0.0,0.0,0.0,0.0,0.0,2018-01-19
01/19/2018,PHX,14.0,0.0,0.0,0.0,0.0,0.0,2018-01-19
01/19/2019,CLT,-1.0,3.0,0.0,0.0,0.0,12.0,2019-01-19
01/19/2019,DFW,-8.0,0.0,0.0,28.0,0.0,0.0,2019-01-19
01/19/2019,MIA,6.0,0.0,0.0,0.0,0.0,0.0,2019-01-19
01/19/2019,ORD,56.0,0.0,56.0,45.0,0.0,0.0,2019-01-19
01/19/2019,PHX,4.0,0.0,0.0,0.0,0.0,0.0,2019-01-19
01/20/2017,CLT,491.0,27.0,0.0,0.0,0.0,431.0,2017-01-20
01/20/2017,DFW,51.0,0.0,0.0,0.0,0.0,49.0,2017-01-20
01/20/2017,MIA,6.0,0.0,0.0,0.0,0.0,0.0,2017-01-20
01/20/2017,ORD,17.0,0.0,0.0,0.0,0.0,18.0,2017-01-20
01/20/2017,PHX,-7.0,0.0,0.0,0.0,0.0,0.0,2017-01-20
01/20/2018,CLT,-33.0,0.0,0.0,0.0,0.0,0.0,2018-01-20
01/20/2018,DFW,-14.0,0.0,0.0,0.0,0.0,0.0,2018-01-20
01/20/2018,MIA,-2.0,0.0,0.0,0.0,0.0,0.0,2018-01-20
01/20/2018,ORD,-7.0,0.0,0.0,0.0,0.0,0.0,2018-01-20
01/20/2018,PHX,-17.0,0.0,0.0,0.0,0.0,0.0,2018-01-20
01/20/2019,CLT,14.0,0.0,0.0,0.0,0.0,0.0,2019-01-20
01/20/2019,DFW,-8.0,0.0,0.0,0.0,0.0,0.0,2019-01-20
01/20/2019,MIA,104.0,14.0,0.0,31.0,0.0,86.0,2019-01-20
01/20/2019,ORD,27.0,0.0,0.0,0.0,0.0,0.0,2019-01-20
01/20/2019,PHX,75.0,4.0,0.0,2.0,0.0,81.0,2019-01-20
01/21/2017,CLT,118.0,64.0,0.0,3.0,0.0,87.0,2017-01-21
01/21/2017,DFW,-17.0,0.0,0.0,0.0,0.0,0.0,2017-01-21
01/21/2017,MIA,-7.0,0.0,0.0,0.0,0.0,0.0,2017-01-21
01/21/2017,ORD,149.0,0.0,0.0,0.0,0.0,117.0,2017-01-21
01/21/2017,PHX,-33.0,0.0,0.0,0.0,0.0,0.0,2017-01-21
01/21/2018,CLT,-21.0,0.0,0.0,0.0,0.0,0.0,2018-01-21
01/21/2018,DFW,8.0,0.0,0.0,0.0,0.0,23.0,2018-01-21
01/21/2018,MIA,-21.0,0.0,0.0,0.0,0.0,0.0,2018-01-21
01/21/2018,ORD,-21.0,0.0,0.0,0.0,0.0,0.0,2018-01-21
01/21/2018,PHX,-1.0,0.0,0.0,0.0,0.0,0.0,2018-01-21
01/21/2019,CLT,178.0,0.0,0.0,0.0,0.0,199.0,2019-01-21
01/21/2019,DFW,108.0,30.0,0.0,0.0,0.0,64.0,2019-01-21
01/21/2019,MIA,137.0,4.0,0.0,0.0,0.0,89.0,2019-01-21
01/21/2019,ORD,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-21
01/21/2019,PHX,220.0,18.0,0.0,28.0,0.0,204.0,2019-01-21
